,Momentum,Label
0,-212.10000000000002,False
1,-215.1,False
2,-217.5,False
3,-219.29999999999998,False
4,-220.5,False
5,-220.5,True
6,-220.50000000000003,True
7,-220.5,True
8,-221.10000000000002,False
9,-220.5,True
10,-220.50000000000003,False
11,-219.60000000000002,True
12,-218.4,True
13,-217.4,True
14,-216.9,True
15,-216.7,True
16,-216.79999999999998,True
17,-216.89999999999995,True
18,-217.59999999999994,True
19,-218.29999999999995,True
20,-218.99999999999994,True
21,-219.69999999999996,True
22,-220.99999999999994,True
23,-222.19999999999993,True
24,-224.09999999999994,True
25,-226.39999999999998,True
26,-229.49999999999997,True
27,-232.09999999999997,True
28,-235.09999999999997,True
29,-238.49999999999997,True
30,-242.29999999999995,True
31,-246.2,True
32,-250.19999999999996,True
33,-254.29999999999995,True
34,-258.5,True
35,-262.79999999999995,True
36,-267.2,True
37,-271.5,True
38,-275.9,True
39,-280.4,True
40,-285.4,True
41,-290.49999999999994,True
42,-295.69999999999993,True
43,-300.99999999999994,True
44,-306.3999999999999,True
45,-311.8999999999999,True
46,-317.4999999999999,True
47,-323.09999999999985,True
48,-328.8999999999999,True
49,-334.89999999999986,True
50,-341.09999999999985,True
51,-348.3999999999999,False
52,-353.7999999999999,True
53,-359.29999999999995,True
54,-364.8999999999999,True
55,-370.5999999999999,True
56,-376.4,True
57,-382.2,True
58,-388.19999999999993,True
59,-394.4,True
60,-400.8,True
61,-407.3,True
62,-413.90000000000003,True
63,-420.59999999999997,True
64,-427.3,True
65,-435.2,True
66,-444.9,False
67,-453.19999999999993,False
68,-460.09999999999997,False
69,-465.49999999999994,False
70,-469.6,False
71,-470.9,True
72,-472.2,True
73,-473.5,True
74,-476.3,False
75,-476.1,True
76,-477.3,False
77,-477.1,False
78,-474.00000000000006,True
79,-470.80000000000007,True
80,-469.50000000000006,True
81,-469.6,True
82,-470.5,True
83,-472.09999999999997,True
84,-475.20000000000005,False
85,-476.59999999999997,False
86,-475.4,True
87,-474.2,True
88,-474.4,True
89,-474.7,True
90,-476.5,True
91,-479.80000000000007,True
92,-483.2000000000001,True
93,-486.70000000000016,True
94,-490.60000000000025,True
95,-495.40000000000026,True
96,-501.1000000000003,True
97,-509.5000000000003,False
98,-516.0000000000002,True
99,-524.0000000000003,True
100,-532.2000000000004,True
101,-541.0000000000003,True
102,-549.0000000000003,True
103,-557.2000000000004,True
104,-565.6000000000004,True
105,-574.2000000000004,True
106,-583.0000000000003,True
107,-592.0000000000003,True
108,-601.1000000000004,True
109,-610.3000000000004,True
110,-619.6000000000004,True
111,-630.8000000000004,True
112,-642.1000000000004,True
113,-653.5000000000003,True
114,-665.0000000000003,True
115,-677.0000000000003,True
116,-689.0000000000003,True
117,-701.0000000000003,True
118,-709.5000000000003,True
119,-721.5000000000003,True
120,-736.5000000000003,True
121,-755.0000000000003,True
122,-778.0000000000003,True
123,-807.0000000000003,True
124,-849.5000000000003,False
125,-884.0000000000003,False
126,-911.0000000000003,False
127,-921.0000000000003,True
128,-942.0000000000003,False
129,-963.5000000000005,False
130,-978.5000000000005,False
131,-986.0000000000005,False
132,-980.5000000000005,False
133,-965.5000000000005,True
134,-949.0000000000005,True
135,-941.0000000000005,False
136,-915.0000000000005,True
137,-891.0000000000005,False
138,-875.5000000000005,False
139,-862.5000000000005,False
140,-850.0000000000005,False
141,-828.0000000000005,False
142,-797.5000000000005,True
143,-776.0000000000005,True
144,-771.0000000000005,False
145,-766.0000000000005,False
146,-758.1000000000005,False
147,-742.3000000000004,False
148,-712.3000000000004,True
149,-696.9000000000005,False
150,-675.3000000000004,False
151,-651.4000000000005,False
152,-623.0000000000005,True
153,-601.6000000000005,True
154,-590.0000000000005,True
155,-585.0000000000005,False
156,-570.2000000000004,True
157,-554.7000000000004,False
158,-538.0000000000003,True
159,-524.1000000000003,True
160,-515.2000000000003,True
161,-512.1000000000003,False
162,-502.00000000000034,False
163,-494.00000000000034,False
164,-489.7000000000004,False
165,-485.80000000000035,False
166,-476.7000000000004,False
167,-458.5000000000004,True
168,-443.7000000000004,True
169,-432.6000000000004,True
170,-422.0000000000004,True
171,-414.60000000000036,True
172,-407.8000000000004,True
173,-400.9000000000004,True
174,-394.6000000000004,True
175,-391.4000000000004,True
176,-389.8000000000004,True
177,-389.8000000000004,True
178,-392.9000000000003,True
179,-399.00000000000034,True
180,-407.9000000000004,True
181,-415.5000000000004,True
182,-423.2000000000004,True
183,-430.9000000000004,True
184,-438.80000000000035,True
185,-446.9000000000003,True
186,-456.80000000000035,False
187,-465.30000000000035,False
188,-470.8000000000004,True
189,-478.1000000000004,False
190,-483.90000000000043,False
191,-488.2000000000004,False
192,-490.90000000000043,False
193,-492.20000000000044,False
194,-492.1000000000005,False
195,-490.60000000000053,False
196,-487.7000000000005,False
197,-483.3000000000005,False
198,-477.4000000000005,False
199,-468.70000000000044,True
200,-462.70000000000044,False
201,-456.7000000000005,False
202,-449.2000000000005,False
203,-442.10000000000053,False
204,-435.2000000000005,False
205,-428.5000000000005,False
206,-421.9000000000005,False
207,-415.40000000000055,False
208,-409.00000000000057,False
209,-402.60000000000053,False
210,-396.4000000000005,False
211,-390.4000000000005,False
212,-384.6000000000005,False
213,-376.70000000000044,True
214,-370.0000000000004,True
215,-365.4000000000004,False
216,-360.30000000000035,True
217,-356.80000000000035,False
218,-351.4000000000003,True
219,-347.1000000000003,True
220,-344.40000000000026,True
221,-342.80000000000024,False
222,-341.30000000000024,False
223,-339.80000000000024,False
224,-338.30000000000024,False
225,-336.80000000000024,False
226,-334.30000000000024,True
227,-332.80000000000024,False
228,-330.30000000000024,False
229,-327.80000000000024,False
230,-324.7000000000002,False
231,-322.2000000000002,False
232,-318.40000000000026,True
233,-313.70000000000033,True
234,-309.4000000000004,True
235,-306.00000000000034,True
236,-303.4000000000004,True
237,-302.70000000000044,False
238,-302.20000000000044,False
239,-300.8000000000004,True
240,-299.70000000000044,True
241,-299.4000000000005,False
242,-298.5000000000005,True
243,-298.60000000000053,True
244,-299.60000000000053,True
245,-301.5000000000005,True
246,-303.9000000000005,True
247,-306.4000000000005,True
248,-309.0000000000005,True
249,-311.7000000000005,True
250,-314.5000000000005,True
251,-319.0000000000005,False
252,-323.5000000000005,False
253,-326.1000000000005,True
254,-329.70000000000044,True
255,-333.5000000000004,True
256,-337.2000000000004,False
257,-339.8000000000004,True
258,-342.3000000000004,True
259,-344.6000000000004,False
260,-345.3000000000004,True
261,-346.0000000000004,True
262,-347.2000000000004,True
263,-347.60000000000036,True
264,-347.60000000000036,True
265,-348.70000000000044,True
266,-350.90000000000043,True
267,-353.2000000000005,True
268,-356.1000000000005,True
269,-359.50000000000045,True
270,-364.9000000000005,False
271,-369.5000000000005,False
272,-372.30000000000047,True
273,-376.00000000000045,True
274,-380.5000000000005,False
275,-384.3000000000005,True
276,-388.10000000000053,True
277,-391.60000000000053,True
278,-394.60000000000053,False
279,-397.4000000000005,False
280,-397.9000000000005,True
281,-399.0000000000005,False
282,-399.10000000000053,True
283,-398.60000000000053,True
284,-399.1000000000006,False
285,-399.4000000000006,True
286,-399.20000000000056,False
287,-398.1000000000006,True
288,-396.70000000000056,True
289,-396.00000000000057,True
290,-396.9000000000006,False
291,-396.6000000000006,True
292,-396.4000000000006,True
293,-396.8000000000006,True
294,-396.40000000000055,True
295,-397.10000000000053,False
296,-397.2000000000005,True
297,-397.6000000000005,False
298,-398.40000000000043,False
299,-398.6000000000005,False
300,-398.3000000000004,False
301,-397.30000000000047,False
302,-393.90000000000043,True
303,-390.6000000000005,True
304,-388.50000000000045,True
305,-387.0000000000005,True
306,-386.7000000000005,True
307,-386.30000000000047,True
308,-385.20000000000044,True
309,-386.0000000000005,False
310,-385.9000000000005,True
311,-386.10000000000053,True
312,-387.40000000000055,False
313,-388.9000000000005,True
314,-391.60000000000053,False
315,-395.1000000000005,False
316,-396.80000000000047,True
317,-397.5000000000005,True
